expression,folder,side,A_boundary,C_boundary,B_boundary,ordering,missing,complete_215
Despise,Female_Despise 01,right,0.0,0.0,0.0,tie,,True
Despise,Female_Despise 02,left,214.0,214.0,214.0,tie,,True
Despise,Female_Despise 02,right,0.0,0.0,0.0,tie,,True
Despise,Female_Despise 03,left,214.0,214.0,214.0,tie,,True
Despise,Female_Despise 03,right,0.0,0.0,0.0,tie,,True
Despise,Female_Despise 04,left,214.0,214.0,214.0,tie,,True
Despise,Female_Despise 04,right,0.0,0.0,0.0,tie,,True
Despise,Female_Despise 05,left,214.0,214.0,214.0,tie,,True
Despise,Female_Despise 05,right,0.0,0.0,0.0,tie,,True
Determined,Female_Determined,left,214.0,214.0,214.0,tie,,True
Determined,Female_Determined,right,0.0,0.0,0.0,tie,,True
Distrust,Female_Distrust 01,left,214.0,214.0,214.0,tie,,True
Distrust,Female_Distrust 01,right,0.0,0.0,0.0,tie,,True
Distrust,Female_Distrust 02,left,214.0,214.0,214.0,tie,,True
Distrust,Female_Distrust 02,right,0.0,0.0,0.0,tie,,True
Distrust,Female_Distrust 03,left,214.0,214.0,214.0,tie,,True
Distrust,Female_Distrust 03,right,0.0,0.0,0.0,tie,,True
Distrust,Female_Distrust 04,left,214.0,214.0,214.0,tie,,True
Distrust,Female_Distrust 04,right,0.0,0.0,0.0,tie,,True
Distrust,Female_Distrust 05,left,214.0,214.0,214.0,tie,,True
Distrust,Female_Distrust 05,right,0.0,0.0,0.0,tie,,True
Empathy,Female_Empathy 01,left,214.0,214.0,214.0,tie,,True
Empathy,Female_Empathy 01,right,0.0,0.0,0.0,tie,,True
Empathy,Female_Empathy 02,left,214.0,214.0,214.0,tie,,True
Empathy,Female_Empathy 02,right,0.0,0.0,0.0,tie,,True
Empathy,Female_Empathy 03,left,214.0,214.0,214.0,tie,,True
Empathy,Female_Empathy 03,right,0.0,0.0,0.0,tie,,True
Empathy,Female_Empathy 04,left,214.0,214.0,214.0,tie,,True
Empathy,Female_Empathy 04,right,0.0,0.0,0.0,tie,,True
Empathy,Female_Empathy 05,left,214.0,214.0,214.0,tie,,True
Empathy,Female_Empathy 05,right,0.0,0.0,0.0,tie,,True
Expressions Anger,Female_Expressions Anger 01,left,214.0,214.0,214.0,tie,,True
Expressions Anger,Female_Expressions Anger 01,right,0.0,0.0,0.0,tie,,True
Expressions Anger,Female_Expressions Anger 02,left,214.0,214.0,214.0,tie,,True
Expressions Anger,Female_Expressions Anger 02,right,0.0,0.0,0.0,tie,,True
Expressions Anger,Female_Expressions Anger 03,left,214.0,214.0,214.0,tie,,True
Expressions Anger,Female_Expressions Anger 03,right,0.0,0.0,0.0,tie,,True
Expressions Anger,Female_Expressions Anger 04,left,214.0,214.0,214.0,tie,,True
Expressions Anger,Female_Expressions Anger 04,right,0.0,0.0,0.0,tie,,True
Expressions Anger,Female_Expressions Anger 05,left,214.0,214.0,214.0,tie,,True
Expressions Anger,Female_Expressions Anger 05,right,0.0,0.0,0.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 01,left,214.0,214.0,214.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 01,right,0.0,0.0,0.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 02,left,214.0,214.0,214.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 02,right,0.0,0.0,0.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 03,left,214.0,214.0,214.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 03,right,0.0,0.0,0.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 04,left,214.0,214.0,214.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 04,right,0.0,0.0,0.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 05,left,214.0,214.0,214.0,tie,,True
Expressions Confusion,Female_Expressions Confusion 05,right,0.0,0.0,0.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 01,left,214.0,214.0,214.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 01,right,0.0,0.0,0.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 02,left,214.0,214.0,214.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 02,right,0.0,0.0,0.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 03,left,214.0,214.0,214.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 03,right,0.0,0.0,0.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 04,left,214.0,214.0,214.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 04,right,0.0,0.0,0.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 05,left,214.0,214.0,214.0,tie,,True
Expressions Contempt,Female_Expressions Contempt 05,right,0.0,0.0,0.0,tie,,True
Expressions Desire,Female_Expressions Desire 01,left,214.0,214.0,214.0,tie,,True
Expressions Desire,Female_Expressions Desire 01,right,0.0,0.0,0.0,tie,,True
Expressions Desire,Female_Expressions Desire 02,left,214.0,214.0,214.0,tie,,True
Expressions Desire,Female_Expressions Desire 02,right,0.0,0.0,0.0,tie,,True
Expressions Desire,Female_Expressions Desire 03,left,214.0,214.0,214.0,tie,,True
Expressions Desire,Female_Expressions Desire 03,right,0.0,0.0,0.0,tie,,True
Expressions Desire,Female_Expressions Desire 04,left,214.0,214.0,214.0,tie,,True
Expressions Desire,Female_Expressions Desire 04,right,0.0,0.0,0.0,tie,,True
Expressions Desire,Female_Expressions Desire 05,left,214.0,214.0,214.0,tie,,True
Expressions Desire,Female_Expressions Desire 05,right,0.0,0.0,0.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 01,left,214.0,214.0,214.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 01,right,0.0,0.0,0.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 02,left,214.0,214.0,214.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 02,right,0.0,0.0,0.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 03,left,214.0,214.0,214.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 03,right,0.0,0.0,0.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 04,left,214.0,214.0,214.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 04,right,0.0,0.0,0.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 05,left,214.0,214.0,214.0,tie,,True
Expressions Disgust,Female_Expressions Disgust 05,right,0.0,0.0,0.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 01,left,214.0,214.0,214.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 01,right,0.0,0.0,0.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 02,left,214.0,214.0,214.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 02,right,0.0,0.0,0.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 03,left,214.0,214.0,214.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 03,right,0.0,0.0,0.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 04,left,214.0,214.0,214.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 04,right,0.0,0.0,0.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 05,left,214.0,214.0,214.0,tie,,True
Expressions Excitement,Female_Expressions Excitement 05,right,0.0,0.0,0.0,tie,,True
Expressions Fear,Female_Expressions Fear 01,left,214.0,214.0,214.0,tie,,True
Expressions Fear,Female_Expressions Fear 01,right,0.0,0.0,0.0,tie,,True
Expressions Fear,Female_Expressions Fear 02,left,214.0,214.0,214.0,tie,,True
Expressions Fear,Female_Expressions Fear 02,right,0.0,0.0,0.0,tie,,True
Expressions Fear,Female_Expressions Fear 03,left,214.0,214.0,214.0,tie,,True
Expressions Fear,Female_Expressions Fear 03,right,0.0,0.0,0.0,tie,,True
Expressions Fear,Female_Expressions Fear 04,left,214.0,214.0,214.0,tie,,True
Expressions Fear,Female_Expressions Fear 04,right,0.0,0.0,0.0,tie,,True
Expressions Fear,Female_Expressions Fear 05,left,214.0,214.0,214.0,tie,,True
Expressions Fear,Female_Expressions Fear 05,right,0.0,0.0,0.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 01,left,214.0,214.0,214.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 01,right,0.0,0.0,0.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 02,left,214.0,214.0,214.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 02,right,0.0,0.0,0.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 03,left,214.0,214.0,214.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 03,right,0.0,0.0,0.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 04,left,214.0,214.0,214.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 04,right,0.0,0.0,0.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 05,left,214.0,214.0,214.0,tie,,True
Expressions Happiness,Female_Expressions Happiness 05,right,0.0,0.0,0.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 01,left,214.0,214.0,214.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 01,right,0.0,0.0,0.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 02,left,214.0,214.0,214.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 02,right,0.0,0.0,0.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 03,left,214.0,214.0,214.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 03,right,0.0,0.0,0.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 04,left,214.0,214.0,214.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 04,right,0.0,0.0,0.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 05,left,214.0,214.0,214.0,tie,,True
Expressions Sadness,Female_Expressions Sadness 05,right,0.0,0.0,0.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 01,left,214.0,214.0,214.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 01,right,0.0,0.0,0.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 02,left,214.0,214.0,214.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 02,right,0.0,0.0,0.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 03,left,214.0,214.0,214.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 03,right,0.0,0.0,0.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 04,left,214.0,214.0,214.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 04,right,0.0,0.0,0.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 05,left,214.0,214.0,214.0,tie,,True
Expressions Surprise,Female_Expressions Surprise 05,right,0.0,0.0,0.0,tie,,True
Eyeglasses,Female_Eyeglasses 1,left,214.0,200.0,200.0,tie,,True
Eyeglasses,Female_Eyeglasses 1,right,0.0,0.0,0.0,tie,,True
Fear,Female_Fear 01,left,214.0,214.0,214.0,tie,,True
Fear,Female_Fear 01,right,0.0,0.0,0.0,tie,,True
Fear,Female_Fear 02,left,214.0,214.0,214.0,tie,,True
Fear,Female_Fear 02,right,0.0,0.0,0.0,tie,,True
Fear,Female_Fear 03,left,214.0,214.0,214.0,tie,,True
Fear,Female_Fear 03,right,0.0,0.0,0.0,tie,,True
Fear,Female_Fear 04,left,214.0,214.0,214.0,tie,,True
Fear,Female_Fear 04,right,0.0,0.0,0.0,tie,,True
Fear,Female_Fear 05,left,214.0,214.0,214.0,tie,,True
Fear,Female_Fear 05,right,0.0,0.0,0.0,tie,,True
Fierce Cutthroat,Female_Fierce Cutthroat,left,214.0,214.0,214.0,tie,,True
Fierce Cutthroat,Female_Fierce Cutthroat,right,0.0,0.0,0.0,tie,,True
Fierce Fiery,Female_Fierce Fiery,left,214.0,214.0,214.0,tie,,True
Fierce Fiery,Female_Fierce Fiery,right,0.0,0.0,0.0,tie,,True
Fierce Savage,Female_Fierce Savage,left,214.0,214.0,214.0,tie,,True
Fierce Savage,Female_Fierce Savage,right,0.0,0.0,0.0,tie,,True
Happy,Female_Happy 01,left,214.0,214.0,214.0,tie,,True
Happy,Female_Happy 01,right,0.0,0.0,0.0,tie,,True
Happy,Female_Happy 02,left,214.0,214.0,214.0,tie,,True
Happy,Female_Happy 02,right,0.0,0.0,0.0,tie,,True
Happy,Female_Happy 03,left,214.0,214.0,214.0,tie,,True
Happy,Female_Happy 03,right,0.0,0.0,0.0,tie,,True
Happy,Female_Happy 04,left,214.0,214.0,214.0,tie,,True
Happy,Female_Happy 04,right,0.0,0.0,0.0,tie,,True
Happy,Female_Happy 05,left,214.0,214.0,214.0,tie,,True
Happy,Female_Happy 05,right,0.0,0.0,0.0,tie,,True
Happy Elated,Female_Happy Elated,left,214.0,214.0,214.0,tie,,True
Happy Elated,Female_Happy Elated,right,0.0,0.0,0.0,tie,,True
Happy Perky,Female_Happy Perky,left,214.0,214.0,214.0,tie,,True
Happy Perky,Female_Happy Perky,right,0.0,0.0,0.0,tie,,True
Happy So Peaceful,Female_Happy So Peaceful,left,214.0,214.0,214.0,tie,,True
Happy So Peaceful,Female_Happy So Peaceful,right,0.0,0.0,0.0,tie,,True
Humiliated,Female_Humiliated,left,214.0,214.0,214.0,tie,,True
Humiliated,Female_Humiliated,right,0.0,0.0,0.0,tie,,True
Insanity Deranged,Female_Insanity Deranged,left,214.0,214.0,214.0,tie,,True
Insanity Deranged,Female_Insanity Deranged,right,0.0,0.0,0.0,tie,,True
Insanity Go Cuckoo,Female_Insanity Go Cuckoo,left,214.0,214.0,214.0,tie,,True
Insanity Go Cuckoo,Female_Insanity Go Cuckoo,right,0.0,0.0,0.0,tie,,True
Insanity Going Crazy,Female_Insanity Going Crazy,left,214.0,214.0,214.0,tie,,True
Insanity Going Crazy,Female_Insanity Going Crazy,right,0.0,0.0,0.0,tie,,True
Insanity Hostile,Female_Insanity Hostile,left,214.0,214.0,214.0,tie,,True
Insanity Hostile,Female_Insanity Hostile,right,0.0,0.0,0.0,tie,,True
Insanity Lunatic,Female_Insanity Lunatic,left,214.0,214.0,214.0,tie,,True
Insanity Lunatic,Female_Insanity Lunatic,right,0.0,0.0,0.0,tie,,True
Joy,Female_Joy 01,left,214.0,214.0,214.0,tie,,True
Joy,Female_Joy 01,right,0.0,0.0,0.0,tie,,True
Joy,Female_Joy 02,left,214.0,214.0,214.0,tie,,True
Joy,Female_Joy 02,right,0.0,0.0,0.0,tie,,True
Joy,Female_Joy 03,left,214.0,214.0,214.0,tie,,True
Joy,Female_Joy 03,right,0.0,0.0,0.0,tie,,True
Joy,Female_Joy 04,left,214.0,214.0,214.0,tie,,True
Joy,Female_Joy 04,right,0.0,0.0,0.0,tie,,True
Joy,Female_Joy 05,left,214.0,214.0,214.0,tie,,True
Joy,Female_Joy 05,right,0.0,0.0,0.0,tie,,True
Judgemental,Female_Judgemental 01,left,214.0,214.0,214.0,tie,,True
Judgemental,Female_Judgemental 01,right,0.0,0.0,0.0,tie,,True
Judgemental,Female_Judgemental 02,left,214.0,214.0,214.0,tie,,True
Judgemental,Female_Judgemental 02,right,0.0,0.0,0.0,tie,,True
Judgemental,Female_Judgemental 03,left,214.0,214.0,214.0,tie,,True
Judgemental,Female_Judgemental 03,right,0.0,0.0,0.0,tie,,True
Judgemental,Female_Judgemental 04,left,214.0,214.0,214.0,tie,,True
Judgemental,Female_Judgemental 04,right,0.0,0.0,0.0,tie,,True
Judgemental,Female_Judgemental 05,left,214.0,214.0,214.0,tie,,True
Judgemental,Female_Judgemental 05,right,0.0,0.0,0.0,tie,,True
Nervous,Female_Nervous,left,214.0,214.0,214.0,tie,,True
Nervous,Female_Nervous,right,0.0,0.0,0.0,tie,,True
Pain,Female_Pain 01,left,214.0,214.0,214.0,tie,,True
Pain,Female_Pain 01,right,0.0,0.0,0.0,tie,,True
Pain,Female_Pain 02,left,214.0,214.0,214.0,tie,,True
Pain,Female_Pain 02,right,0.0,0.0,0.0,tie,,True
Pain,Female_Pain 03,left,214.0,214.0,214.0,tie,,True
Pain,Female_Pain 03,right,0.0,0.0,0.0,tie,,True
Pain,Female_Pain 04,left,214.0,214.0,214.0,tie,,True
Pain,Female_Pain 04,right,0.0,0.0,0.0,tie,,True
Pain,Female_Pain 05,left,214.0,214.0,214.0,tie,,True
Pain,Female_Pain 05,right,0.0,0.0,0.0,tie,,True
Pain Illness,Female_Pain Illness,left,214.0,214.0,214.0,tie,,True
Pain Illness,Female_Pain Illness,right,0.0,0.0,0.0,tie,,True
Playful,Female_Playful 01,left,214.0,214.0,214.0,tie,,True
Playful,Female_Playful 01,right,0.0,0.0,0.0,tie,,True
Playful,Female_Playful 02,left,214.0,214.0,214.0,tie,,True
Playful,Female_Playful 02,right,0.0,0.0,0.0,tie,,True
Playful,Female_Playful 03,left,214.0,214.0,214.0,tie,,True
Playful,Female_Playful 03,right,0.0,0.0,0.0,tie,,True
Playful,Female_Playful 04,left,214.0,214.0,214.0,tie,,True
Playful,Female_Playful 04,right,0.0,0.0,0.0,tie,,True
Playful,Female_Playful 05,left,214.0,214.0,214.0,tie,,True
Playful,Female_Playful 05,right,0.0,0.0,0.0,tie,,True
Pleasure Oo So Funny,Female_Pleasure Oo So Funny,left,214.0,214.0,214.0,tie,,True
Pleasure Oo So Funny,Female_Pleasure Oo So Funny,right,0.0,0.0,0.0,tie,,True
Romantic,Female_Romantic 01,left,214.0,214.0,214.0,tie,,True
Romantic,Female_Romantic 01,right,0.0,0.0,0.0,tie,,True
Romantic,Female_Romantic 02,left,214.0,214.0,214.0,tie,,True
Romantic,Female_Romantic 02,right,0.0,0.0,0.0,tie,,True
Romantic,Female_Romantic 03,left,214.0,214.0,214.0,tie,,True
Romantic,Female_Romantic 03,right,0.0,0.0,0.0,tie,,True
Romantic,Female_Romantic 04,left,214.0,214.0,214.0,tie,,True
Romantic,Female_Romantic 04,right,0.0,0.0,0.0,tie,,True
Romantic,Female_Romantic 05,left,214.0,214.0,214.0,tie,,True
Romantic,Female_Romantic 05,right,0.0,0.0,0.0,tie,,True
S Wink,Female_S Wink 02,left,214.0,214.0,214.0,tie,,True
S Wink,Female_S Wink 02,right,0.0,0.0,0.0,tie,,True
Sad,Female_Sad 01,left,214.0,214.0,214.0,tie,,True
Sad,Female_Sad 01,right,0.0,0.0,0.0,tie,,True
Sad,Female_Sad 02,left,214.0,214.0,214.0,tie,,True
Sad,Female_Sad 02,right,0.0,0.0,0.0,tie,,True
Sad,Female_Sad 03,left,214.0,214.0,214.0,tie,,True
Sad,Female_Sad 03,right,0.0,0.0,0.0,tie,,True
Sad,Female_Sad 04,left,214.0,214.0,214.0,tie,,True
Sad,Female_Sad 04,right,0.0,0.0,0.0,tie,,True
Sad,Female_Sad 05,left,214.0,214.0,214.0,tie,,True
Sad,Female_Sad 05,right,0.0,0.0,0.0,tie,,True
Scream,Female_Scream,left,214.0,214.0,214.0,tie,,True
Scream,Female_Scream,right,0.0,0.0,0.0,tie,,True
Seriousness,Female_Seriousness 01,left,214.0,214.0,214.0,tie,,True
Seriousness,Female_Seriousness 01,right,0.0,0.0,0.0,tie,,True
Seriousness,Female_Seriousness 02,left,214.0,214.0,214.0,tie,,True
Seriousness,Female_Seriousness 02,right,0.0,0.0,0.0,tie,,True
Seriousness,Female_Seriousness 03,left,214.0,214.0,214.0,tie,,True
Seriousness,Female_Seriousness 03,right,0.0,0.0,0.0,tie,,True
Seriousness,Female_Seriousness 04,left,214.0,214.0,214.0,tie,,True
Seriousness,Female_Seriousness 04,right,0.0,0.0,0.0,tie,,True
Seriousness,Female_Seriousness 05,left,214.0,214.0,214.0,tie,,True
Seriousness,Female_Seriousness 05,right,0.0,0.0,0.0,tie,,True
Silly,Female_Silly 01,left,214.0,214.0,214.0,tie,,True
Silly,Female_Silly 01,right,0.0,0.0,0.0,tie,,True
Silly,Female_Silly 02,left,214.0,214.0,214.0,tie,,True
Silly,Female_Silly 02,right,0.0,0.0,0.0,tie,,True
Silly,Female_Silly 03,left,214.0,214.0,214.0,tie,,True
Silly,Female_Silly 03,right,0.0,0.0,0.0,tie,,True
Silly,Female_Silly 04,left,214.0,214.0,214.0,tie,,True
Silly,Female_Silly 04,right,0.0,0.0,0.0,tie,,True
Silly,Female_Silly 05,left,214.0,214.0,214.0,tie,,True
Silly,Female_Silly 05,right,0.0,0.0,0.0,tie,,True
Sleepy,Female_Sleepy,left,214.0,214.0,214.0,tie,,True
Sleepy,Female_Sleepy,right,0.0,0.0,0.0,tie,,True
Sleepy,Female_Sleepy 01,left,214.0,214.0,214.0,tie,,True
Sleepy,Female_Sleepy 01,right,0.0,0.0,0.0,tie,,True
Sleepy,Female_Sleepy 02,left,214.0,214.0,214.0,tie,,True
Sleepy,Female_Sleepy 02,right,0.0,0.0,0.0,tie,,True
Sleepy,Female_Sleepy 03,left,214.0,214.0,214.0,tie,,True
Sleepy,Female_Sleepy 03,right,0.0,0.0,0.0,tie,,True
Sleepy,Female_Sleepy 04,left,214.0,214.0,214.0,tie,,True
Sleepy,Female_Sleepy 04,right,0.0,0.0,0.0,tie,,True
Sleepy,Female_Sleepy 05,left,214.0,214.0,214.0,tie,,True
Sleepy,Female_Sleepy 05,right,0.0,0.0,0.0,tie,,True
Subtle,Female_Subtle 01,left,214.0,214.0,214.0,tie,,True
Subtle,Female_Subtle 01,right,0.0,0.0,0.0,tie,,True
Subtle,Female_Subtle 02,left,214.0,214.0,214.0,tie,,True
Subtle,Female_Subtle 02,right,0.0,0.0,0.0,tie,,True
Subtle,Female_Subtle 03,left,214.0,214.0,214.0,tie,,True
Subtle,Female_Subtle 03,right,0.0,0.0,0.0,tie,,True
Subtle,Female_Subtle 04,left,214.0,214.0,214.0,tie,,True
Subtle,Female_Subtle 04,right,0.0,0.0,0.0,tie,,True
Talking,Female_Talking 01,left,214.0,214.0,214.0,tie,,True
Talking,Female_Talking 01,right,0.0,0.0,0.0,tie,,True
Talking,Female_Talking 02,left,214.0,214.0,214.0,tie,,True
Talking,Female_Talking 02,right,0.0,0.0,0.0,tie,,True
Talking,Female_Talking 03,left,214.0,214.0,214.0,tie,,True
