expression,folder,side,A_distance,C_distance,B_distance,complete
Empathy,Female_Empathy 01,right,10.0,2.0,11.0,True
Empathy,Female_Empathy 02,left,9.0,16.0,17.0,True
Empathy,Female_Empathy 02,right,11.0,13.0,19.0,True
Empathy,Female_Empathy 03,left,8.0,8.0,11.0,True
Empathy,Female_Empathy 03,right,9.0,18.0,23.0,True
Empathy,Female_Empathy 04,left,9.0,8.0,16.0,True
Empathy,Female_Empathy 04,right,10.0,14.0,16.0,True
Empathy,Female_Empathy 05,left,9.0,8.0,8.0,True
Empathy,Female_Empathy 05,right,10.0,28.0,28.0,True
Expressions Anger,Female_Expressions Anger 01,left,9.0,9.0,10.0,True
Expressions Anger,Female_Expressions Anger 01,right,20.0,12.0,15.0,True
Expressions Anger,Female_Expressions Anger 02,left,11.0,23.0,24.0,True
Expressions Anger,Female_Expressions Anger 02,right,17.0,18.0,20.0,True
Expressions Anger,Female_Expressions Anger 03,left,9.0,22.0,23.0,True
Expressions Anger,Female_Expressions Anger 03,right,18.0,18.0,20.0,True
Expressions Anger,Female_Expressions Anger 04,left,10.0,14.0,14.0,True
Expressions Anger,Female_Expressions Anger 04,right,20.0,23.0,24.0,True
Expressions Anger,Female_Expressions Anger 05,left,11.0,22.0,22.0,True
Expressions Anger,Female_Expressions Anger 05,right,18.0,17.0,18.0,True
Expressions Confusion,Female_Expressions Confusion 01,left,10.0,12.0,12.0,True
Expressions Confusion,Female_Expressions Confusion 01,right,21.0,22.0,29.0,True
Expressions Confusion,Female_Expressions Confusion 02,left,8.0,13.0,23.0,True
Expressions Confusion,Female_Expressions Confusion 02,right,21.0,21.0,21.0,True
Expressions Confusion,Female_Expressions Confusion 03,left,9.0,8.0,10.0,True
Expressions Confusion,Female_Expressions Confusion 03,right,19.0,19.0,20.0,True
Expressions Confusion,Female_Expressions Confusion 04,left,10.0,7.0,9.0,True
Expressions Confusion,Female_Expressions Confusion 04,right,20.0,12.0,20.0,True
Expressions Confusion,Female_Expressions Confusion 05,left,8.0,21.0,23.0,True
Expressions Confusion,Female_Expressions Confusion 05,right,23.0,27.0,27.0,True
Expressions Contempt,Female_Expressions Contempt 01,left,10.0,10.0,20.0,True
Expressions Contempt,Female_Expressions Contempt 01,right,20.0,17.0,20.0,True
Expressions Contempt,Female_Expressions Contempt 02,left,10.0,9.0,10.0,True
Expressions Contempt,Female_Expressions Contempt 02,right,20.0,41.0,43.0,True
Expressions Contempt,Female_Expressions Contempt 03,left,9.0,24.0,24.0,True
Expressions Contempt,Female_Expressions Contempt 03,right,20.0,31.0,33.0,True
Expressions Contempt,Female_Expressions Contempt 04,left,10.0,10.0,12.0,True
Expressions Contempt,Female_Expressions Contempt 04,right,20.0,17.0,20.0,True
Expressions Contempt,Female_Expressions Contempt 05,left,10.0,29.0,30.0,True
Expressions Contempt,Female_Expressions Contempt 05,right,22.0,26.0,32.0,True
Expressions Desire,Female_Expressions Desire 01,left,9.0,5.0,7.0,True
Expressions Desire,Female_Expressions Desire 01,right,20.0,12.0,13.0,True
Expressions Desire,Female_Expressions Desire 02,left,10.0,19.0,21.0,True
Expressions Desire,Female_Expressions Desire 02,right,20.0,52.0,52.0,True
Expressions Desire,Female_Expressions Desire 03,left,10.0,8.0,15.0,True
Expressions Desire,Female_Expressions Desire 03,right,21.0,19.0,23.0,True
Expressions Desire,Female_Expressions Desire 04,left,13.0,34.0,34.0,True
Expressions Desire,Female_Expressions Desire 04,right,12.0,22.0,22.0,True
Expressions Desire,Female_Expressions Desire 05,left,10.0,50.0,50.0,True
Expressions Desire,Female_Expressions Desire 05,right,22.0,37.0,39.0,True
Expressions Disgust,Female_Expressions Disgust 01,left,9.0,25.0,25.0,True
Expressions Disgust,Female_Expressions Disgust 01,right,22.0,26.0,31.0,True
Expressions Disgust,Female_Expressions Disgust 02,left,9.0,37.0,37.0,True
Expressions Disgust,Female_Expressions Disgust 02,right,19.0,31.0,31.0,True
Expressions Disgust,Female_Expressions Disgust 03,left,10.0,12.0,14.0,True
Expressions Disgust,Female_Expressions Disgust 03,right,19.0,17.0,18.0,True
Expressions Disgust,Female_Expressions Disgust 04,left,7.0,22.0,25.0,True
Expressions Disgust,Female_Expressions Disgust 04,right,16.0,33.0,39.0,True
Expressions Disgust,Female_Expressions Disgust 05,left,10.0,13.0,13.0,True
Expressions Disgust,Female_Expressions Disgust 05,right,18.0,17.0,23.0,True
Expressions Excitement,Female_Expressions Excitement 01,left,10.0,20.0,26.0,True
Expressions Excitement,Female_Expressions Excitement 01,right,22.0,21.0,24.0,True
Expressions Excitement,Female_Expressions Excitement 02,left,9.0,20.0,25.0,True
Expressions Excitement,Female_Expressions Excitement 02,right,22.0,45.0,45.0,True
Expressions Excitement,Female_Expressions Excitement 03,left,10.0,9.0,12.0,True
Expressions Excitement,Female_Expressions Excitement 03,right,20.0,16.0,17.0,True
Expressions Excitement,Female_Expressions Excitement 04,left,11.0,35.0,37.0,True
Expressions Excitement,Female_Expressions Excitement 04,right,22.0,14.0,20.0,True
Expressions Excitement,Female_Expressions Excitement 05,left,9.0,15.0,16.0,True
Expressions Excitement,Female_Expressions Excitement 05,right,22.0,13.0,18.0,True
Expressions Fear,Female_Expressions Fear 01,left,10.0,13.0,19.0,True
Expressions Fear,Female_Expressions Fear 01,right,21.0,20.0,24.0,True
Expressions Fear,Female_Expressions Fear 02,left,11.0,19.0,26.0,True
Expressions Fear,Female_Expressions Fear 02,right,23.0,29.0,31.0,True
Expressions Fear,Female_Expressions Fear 03,left,9.0,15.0,21.0,True
Expressions Fear,Female_Expressions Fear 03,right,20.0,13.0,19.0,True
Expressions Fear,Female_Expressions Fear 04,left,9.0,10.0,11.0,True
Expressions Fear,Female_Expressions Fear 04,right,20.0,14.0,19.0,True
Expressions Fear,Female_Expressions Fear 05,left,10.0,10.0,12.0,True
Expressions Fear,Female_Expressions Fear 05,right,21.0,17.0,21.0,True
Expressions Happiness,Female_Expressions Happiness 01,left,9.0,24.0,26.0,True
Expressions Happiness,Female_Expressions Happiness 01,right,20.0,18.0,19.0,True
Expressions Happiness,Female_Expressions Happiness 02,left,9.0,14.0,22.0,True
Expressions Happiness,Female_Expressions Happiness 02,right,20.0,19.0,24.0,True
Expressions Happiness,Female_Expressions Happiness 03,left,10.0,11.0,24.0,True
Expressions Happiness,Female_Expressions Happiness 03,right,23.0,23.0,23.0,True
Expressions Happiness,Female_Expressions Happiness 04,left,10.0,25.0,26.0,True
Expressions Happiness,Female_Expressions Happiness 04,right,22.0,19.0,30.0,True
Expressions Happiness,Female_Expressions Happiness 05,left,10.0,27.0,29.0,True
Expressions Happiness,Female_Expressions Happiness 05,right,22.0,23.0,25.0,True
Expressions Sadness,Female_Expressions Sadness 01,left,9.0,13.0,22.0,True
Expressions Sadness,Female_Expressions Sadness 01,right,20.0,13.0,18.0,True
Expressions Sadness,Female_Expressions Sadness 02,left,11.0,50.0,50.0,True
Expressions Sadness,Female_Expressions Sadness 02,right,21.0,39.0,46.0,True
Expressions Sadness,Female_Expressions Sadness 03,left,9.0,8.0,9.0,True
Expressions Sadness,Female_Expressions Sadness 03,right,19.0,13.0,18.0,True
Expressions Sadness,Female_Expressions Sadness 04,left,8.0,12.0,13.0,True
Expressions Sadness,Female_Expressions Sadness 04,right,20.0,20.0,20.0,True
Expressions Sadness,Female_Expressions Sadness 05,left,9.0,15.0,22.0,True
Expressions Sadness,Female_Expressions Sadness 05,right,21.0,23.0,24.0,True
Expressions Surprise,Female_Expressions Surprise 01,left,8.0,65.0,65.0,True
Expressions Surprise,Female_Expressions Surprise 01,right,17.0,58.0,59.0,True
Expressions Surprise,Female_Expressions Surprise 02,left,9.0,25.0,25.0,True
Expressions Surprise,Female_Expressions Surprise 02,right,21.0,21.0,27.0,True
Expressions Surprise,Female_Expressions Surprise 03,left,9.0,15.0,17.0,True
Expressions Surprise,Female_Expressions Surprise 03,right,22.0,23.0,24.0,True
Expressions Surprise,Female_Expressions Surprise 04,left,11.0,20.0,21.0,True
Expressions Surprise,Female_Expressions Surprise 04,right,23.0,34.0,39.0,True
Expressions Surprise,Female_Expressions Surprise 05,left,10.0,23.0,32.0,True
Expressions Surprise,Female_Expressions Surprise 05,right,23.0,33.0,34.0,True
Eyeglasses,Female_Eyeglasses 1,left,4.0,85.0,85.0,True
Eyeglasses,Female_Eyeglasses 1,right,3.0,86.0,86.0,True
Fear,Female_Fear 01,left,10.0,72.0,72.0,True
Fear,Female_Fear 01,right,12.0,26.0,26.0,True
Fear,Female_Fear 02,left,10.0,23.0,24.0,True
Fear,Female_Fear 02,right,11.0,38.0,39.0,True
Fear,Female_Fear 03,left,10.0,25.0,27.0,True
Fear,Female_Fear 03,right,10.0,21.0,23.0,True
Fear,Female_Fear 04,left,9.0,20.0,21.0,True
Fear,Female_Fear 04,right,11.0,40.0,40.0,True
Fear,Female_Fear 05,left,9.0,22.0,32.0,True
Fear,Female_Fear 05,right,12.0,29.0,31.0,True
Fierce Cutthroat,Female_Fierce Cutthroat,left,8.0,21.0,21.0,True
Fierce Cutthroat,Female_Fierce Cutthroat,right,5.0,17.0,21.0,True
Fierce Fiery,Female_Fierce Fiery,left,9.0,18.0,19.0,True
Fierce Fiery,Female_Fierce Fiery,right,6.0,17.0,17.0,True
Fierce Savage,Female_Fierce Savage,left,8.0,22.0,22.0,True
Fierce Savage,Female_Fierce Savage,right,4.0,80.0,81.0,True
Happy,Female_Happy 01,left,10.0,10.0,23.0,True
Happy,Female_Happy 01,right,12.0,12.0,13.0,True
Happy,Female_Happy 02,left,8.0,9.0,15.0,True
Happy,Female_Happy 02,right,9.0,11.0,14.0,True
Happy,Female_Happy 03,left,8.0,13.0,18.0,True
Happy,Female_Happy 03,right,9.0,15.0,18.0,True
Happy,Female_Happy 04,left,7.0,14.0,16.0,True
Happy,Female_Happy 04,right,9.0,23.0,23.0,True
Happy,Female_Happy 05,left,11.0,17.0,18.0,True
Happy,Female_Happy 05,right,11.0,24.0,29.0,True
Happy Elated,Female_Happy Elated,left,10.0,22.0,23.0,True
Happy Elated,Female_Happy Elated,right,8.0,37.0,37.0,True
Happy Perky,Female_Happy Perky,left,8.0,24.0,24.0,True
Happy Perky,Female_Happy Perky,right,1.0,24.0,24.0,True
Happy So Peaceful,Female_Happy So Peaceful,left,11.0,48.0,48.0,True
Happy So Peaceful,Female_Happy So Peaceful,right,8.0,45.0,48.0,True
Humiliated,Female_Humiliated,left,9.0,12.0,21.0,True
Humiliated,Female_Humiliated,right,7.0,31.0,31.0,True
Insanity Deranged,Female_Insanity Deranged,left,8.0,42.0,43.0,True
Insanity Deranged,Female_Insanity Deranged,right,5.0,77.0,84.0,True
Insanity Go Cuckoo,Female_Insanity Go Cuckoo,left,9.0,21.0,21.0,True
Insanity Go Cuckoo,Female_Insanity Go Cuckoo,right,11.0,25.0,25.0,True
Insanity Going Crazy,Female_Insanity Going Crazy,left,12.0,24.0,24.0,True
Insanity Going Crazy,Female_Insanity Going Crazy,right,11.0,26.0,29.0,True
Insanity Hostile,Female_Insanity Hostile,left,9.0,40.0,56.0,True
Insanity Hostile,Female_Insanity Hostile,right,7.0,55.0,67.0,True
Insanity Lunatic,Female_Insanity Lunatic,left,8.0,13.0,15.0,True
Insanity Lunatic,Female_Insanity Lunatic,right,3.0,21.0,21.0,True
Joy,Female_Joy 01,left,9.0,11.0,14.0,True
Joy,Female_Joy 01,right,9.0,7.0,8.0,True
Joy,Female_Joy 02,left,10.0,25.0,40.0,True
Joy,Female_Joy 02,right,10.0,39.0,39.0,True
Joy,Female_Joy 03,left,12.0,48.0,48.0,True
Joy,Female_Joy 03,right,13.0,50.0,55.0,True
Joy,Female_Joy 04,left,9.0,9.0,11.0,True
Joy,Female_Joy 04,right,11.0,24.0,25.0,True
Joy,Female_Joy 05,left,11.0,59.0,68.0,True
Joy,Female_Joy 05,right,13.0,22.0,35.0,True
Judgemental,Female_Judgemental 01,left,10.0,15.0,15.0,True
Judgemental,Female_Judgemental 01,right,8.0,11.0,17.0,True
Judgemental,Female_Judgemental 02,left,7.0,8.0,12.0,True
Judgemental,Female_Judgemental 02,right,10.0,6.0,12.0,True
Judgemental,Female_Judgemental 03,left,8.0,22.0,25.0,True
Judgemental,Female_Judgemental 03,right,10.0,12.0,13.0,True
Judgemental,Female_Judgemental 04,left,10.0,20.0,20.0,True
Judgemental,Female_Judgemental 04,right,12.0,29.0,39.0,True
Judgemental,Female_Judgemental 05,left,9.0,9.0,14.0,True
Judgemental,Female_Judgemental 05,right,5.0,24.0,29.0,True
Nervous,Female_Nervous,left,9.0,12.0,18.0,True
Nervous,Female_Nervous,right,11.0,11.0,13.0,True
Pain,Female_Pain 01,left,9.0,21.0,21.0,True
Pain,Female_Pain 01,right,11.0,34.0,34.0,True
Pain,Female_Pain 02,left,10.0,57.0,85.0,True
Pain,Female_Pain 02,right,11.0,45.0,71.0,True
Pain,Female_Pain 03,left,8.0,9.0,15.0,True
Pain,Female_Pain 03,right,10.0,20.0,20.0,True
Pain,Female_Pain 04,left,9.0,19.0,35.0,True
Pain,Female_Pain 04,right,11.0,42.0,42.0,True
Pain,Female_Pain 05,left,9.0,21.0,21.0,True
Pain,Female_Pain 05,right,13.0,28.0,35.0,True
Pain Illness,Female_Pain Illness,left,10.0,44.0,44.0,True
Pain Illness,Female_Pain Illness,right,3.0,49.0,56.0,True
Playful,Female_Playful 01,left,10.0,14.0,21.0,True
Playful,Female_Playful 01,right,9.0,23.0,23.0,True
Playful,Female_Playful 02,left,7.0,17.0,21.0,True
Playful,Female_Playful 02,right,9.0,25.0,25.0,True
Playful,Female_Playful 03,left,8.0,7.0,9.0,True
Playful,Female_Playful 03,right,12.0,16.0,20.0,True
Playful,Female_Playful 04,left,8.0,13.0,15.0,True
Playful,Female_Playful 04,right,7.0,24.0,24.0,True
Playful,Female_Playful 05,left,10.0,9.0,11.0,True
Playful,Female_Playful 05,right,10.0,10.0,16.0,True
Pleasure Oo So Funny,Female_Pleasure Oo So Funny,left,9.0,10.0,12.0,True
Pleasure Oo So Funny,Female_Pleasure Oo So Funny,right,6.0,10.0,11.0,True
Romantic,Female_Romantic 01,left,12.0,23.0,26.0,True
Romantic,Female_Romantic 01,right,11.0,18.0,34.0,True
Romantic,Female_Romantic 02,left,8.0,7.0,10.0,True
Romantic,Female_Romantic 02,right,10.0,8.0,10.0,True
Romantic,Female_Romantic 03,left,10.0,11.0,11.0,True
Romantic,Female_Romantic 03,right,10.0,28.0,30.0,True
Romantic,Female_Romantic 04,left,9.0,26.0,26.0,True
Romantic,Female_Romantic 04,right,11.0,20.0,24.0,True
Romantic,Female_Romantic 05,left,9.0,7.0,10.0,True
Romantic,Female_Romantic 05,right,9.0,7.0,9.0,True
S Wink,Female_S Wink 02,left,14.0,64.0,65.0,True
S Wink,Female_S Wink 02,right,13.0,63.0,63.0,True
Sad,Female_Sad 01,left,9.0,7.0,12.0,True
Sad,Female_Sad 01,right,10.0,9.0,12.0,True
Sad,Female_Sad 02,left,9.0,7.0,11.0,True
Sad,Female_Sad 02,right,10.0,12.0,18.0,True
Sad,Female_Sad 03,left,11.0,11.0,26.0,True
Sad,Female_Sad 03,right,12.0,47.0,54.0,True
Sad,Female_Sad 04,left,9.0,8.0,9.0,True
Sad,Female_Sad 04,right,9.0,14.0,19.0,True
Sad,Female_Sad 05,left,8.0,11.0,11.0,True
Sad,Female_Sad 05,right,10.0,4.0,11.0,True
Scream,Female_Scream,left,9.0,13.0,13.0,True
Scream,Female_Scream,right,13.0,26.0,26.0,True
Seriousness,Female_Seriousness 01,left,8.0,5.0,7.0,True
Seriousness,Female_Seriousness 01,right,10.0,4.0,8.0,True
Seriousness,Female_Seriousness 02,left,9.0,15.0,16.0,True
Seriousness,Female_Seriousness 02,right,11.0,12.0,14.0,True
Seriousness,Female_Seriousness 03,left,9.0,7.0,9.0,True
Seriousness,Female_Seriousness 03,right,9.0,9.0,12.0,True
Seriousness,Female_Seriousness 04,left,9.0,14.0,16.0,True
Seriousness,Female_Seriousness 04,right,12.0,13.0,14.0,True
Seriousness,Female_Seriousness 05,left,8.0,23.0,24.0,True
Seriousness,Female_Seriousness 05,right,11.0,12.0,13.0,True
Silly,Female_Silly 01,left,8.0,21.0,21.0,True
Silly,Female_Silly 01,right,10.0,21.0,21.0,True
Silly,Female_Silly 02,left,9.0,33.0,33.0,True
Silly,Female_Silly 02,right,13.0,24.0,33.0,True
Silly,Female_Silly 03,left,9.0,34.0,34.0,True
Silly,Female_Silly 03,right,11.0,28.0,33.0,True
Silly,Female_Silly 04,left,13.0,26.0,33.0,True
Silly,Female_Silly 04,right,15.0,47.0,47.0,True
Silly,Female_Silly 05,left,9.0,16.0,16.0,True
Silly,Female_Silly 05,right,11.0,50.0,52.0,True
Sleepy,Female_Sleepy,left,13.0,35.0,35.0,True
Sleepy,Female_Sleepy,right,11.0,24.0,24.0,True
Sleepy,Female_Sleepy 01,left,11.0,75.0,75.0,True
Sleepy,Female_Sleepy 01,right,13.0,75.0,75.0,True
Sleepy,Female_Sleepy 02,left,11.0,10.0,11.0,True
Sleepy,Female_Sleepy 02,right,11.0,15.0,22.0,True
Sleepy,Female_Sleepy 03,left,11.0,20.0,21.0,True
Sleepy,Female_Sleepy 03,right,10.0,20.0,20.0,True
Sleepy,Female_Sleepy 04,left,11.0,32.0,35.0,True
Sleepy,Female_Sleepy 04,right,12.0,38.0,38.0,True
Sleepy,Female_Sleepy 05,left,10.0,12.0,16.0,True
Sleepy,Female_Sleepy 05,right,10.0,12.0,12.0,True
Subtle,Female_Subtle 01,left,10.0,13.0,15.0,True
Subtle,Female_Subtle 01,right,11.0,12.0,13.0,True
Subtle,Female_Subtle 02,left,9.0,7.0,8.0,True
Subtle,Female_Subtle 02,right,11.0,9.0,11.0,True
Subtle,Female_Subtle 03,left,9.0,6.0,9.0,True
Subtle,Female_Subtle 03,right,10.0,5.0,11.0,True
Subtle,Female_Subtle 04,left,7.0,7.0,8.0,True
Subtle,Female_Subtle 04,right,11.0,10.0,11.0,True
Talking,Female_Talking 01,left,9.0,10.0,11.0,True
Talking,Female_Talking 01,right,12.0,23.0,23.0,True
Talking,Female_Talking 02,left,9.0,19.0,24.0,True
Talking,Female_Talking 02,right,12.0,23.0,23.0,True
Talking,Female_Talking 03,left,11.0,23.0,49.0,True
Talking,Female_Talking 03,right,12.0,20.0,20.0,True
Talking,Female_Talking 04,left,9.0,17.0,17.0,True
Talking,Female_Talking 04,right,12.0,33.0,34.0,True
Talking,Female_Talking 05,left,9.0,12.0,13.0,True
Talking,Female_Talking 05,right,11.0,14.0,16.0,True
Terror,Female_Terror,left,9.0,29.0,36.0,True
Terror,Female_Terror,right,9.0,29.0,34.0,True
Terror Phobia,Female_Terror Phobia,left,10.0,23.0,23.0,True
Terror Phobia,Female_Terror Phobia,right,8.0,26.0,27.0,True
Ulgh,Female_Ulgh,left,7.0,14.0,63.0,True
Ulgh,Female_Ulgh,right,9.0,68.0,69.0,True
Wicked,Female_Wicked 01,left,9.0,26.0,28.0,True
Wicked,Female_Wicked 01,right,11.0,22.0,29.0,True
Wicked,Female_Wicked 02,left,9.0,19.0,20.0,True
Wicked,Female_Wicked 02,right,12.0,25.0,27.0,True
Wicked,Female_Wicked 03,left,8.0,26.0,27.0,True
Wicked,Female_Wicked 03,right,11.0,35.0,36.0,True
Wicked,Female_Wicked 04,left,10.0,1.0,5.0,True
Wicked,Female_Wicked 04,right,9.0,1.0,7.0,True
Wicked,Female_Wicked 05,left,10.0,1.0,1.0,True
Wicked,Female_Wicked 05,right,9.0,1.0,13.0,True
Wink,Female_Wink,left,9.0,57.0,66.0,True
Wink,Female_Wink,right,12.0,32.0,32.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 01,left,7.0,9.0,18.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 01,right,9.0,5.0,8.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 02,left,11.0,8.0,27.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 02,right,13.0,6.0,24.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 03,left,9.0,16.0,16.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 03,right,9.0,22.0,23.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 04,left,9.0,18.0,18.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 04,right,10.0,20.0,20.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 05,left,12.0,32.0,44.0,True
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 05,right,11.0,27.0,27.0,True
ZMouth Open Horizontal,Female_ZMouth Open Horizontal,left,10.0,11.0,12.0,True
ZMouth Open Horizontal,Female_ZMouth Open Horizontal,right,11.0,13.0,18.0,True
ZMouth Open Horizontal And Vertical,Female_ZMouth Open Horizontal And Vertical,left,10.0,23.0,24.0,True
ZMouth Open Horizontal And Vertical,Female_ZMouth Open Horizontal And Vertical,right,11.0,23.0,24.0,True
+10,Male_+10,left,5.0,14.0,16.0,True
+10,Male_+10,right,1.0,14.0,16.0,True
+20,Male_+20,left,6.0,14.0,17.0,True
+20,Male_+20,right,4.0,18.0,19.0,True
